"Residential Dwelling Property Transactions by Type of Sale, Type of"
"Buyer, Stamp Duty Event, Dwelling Status, County, statistical indicator"
"and Year"

" "," "," "," "," "," ","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"All Sale Types"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",11,11,22,8,14,4,3,4,6
" "," "," "," "," ","Value of Sales (Euro Million)",1.9,1.5,3.0,0.6,0.9,0.4,0.3,0.5,0.8
" "," "," "," "," ","Mean Sale Price (Euro)",170182,133974,135531,75625,64073,110570,108713,132613,136400
" "," "," "," "," ","Median Price (Euro)",164999,149951,141875,75625,69189,113315,104988,134113,128412
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",19,10,2,5,22,89,70,55,31
" "," "," "," "," ","Value of Sales (Euro Million)",2.7,1.4,0.2,0.2,2.3,7.8,8.3,9.9,6.9
" "," "," "," "," ","Mean Sale Price (Euro)",143658,137304,114500,46780,104983,87144,118551,179213,221776
" "," "," "," "," ","Median Price (Euro)",139295,142789,114500,56750,90800,56750,92361,197201,228135
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",2,6,20,15,29,52,28,7,41
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,1.2,3.9,0.5,2.5,9.1,7.4,2.8,8.5
" "," "," "," "," ","Mean Sale Price (Euro)",189999,192682,192976,31402,84967,174886,265663,404801,206805
" "," "," "," "," ","Median Price (Euro)",189999,186321,192071,11350,74000,202842,281000,380225,206068
" "," "," ","Existing"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",520,716,1391,1887,5408,4950,5747,6637,7397
" "," "," "," "," ","Value of Sales (Euro Million)",108.8,142.5,257.5,365.9,1025.8,948.0,1236.0,1537.3,1865.8
" "," "," "," "," ","Mean Sale Price (Euro)",209144,199066,185115,193896,189673,191517,215076,231630,252241
" "," "," "," "," ","Median Price (Euro)",145500,140000,142500,115000,145000,132910,150000,157500,185000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",9,7,6,34,26,32,39,57,158
" "," "," "," "," ","Value of Sales (Euro Million)",1.5,1.0,0.7,3.0,2.6,2.8,4.7,6.7,17.6
" "," "," "," "," ","Mean Sale Price (Euro)",170667,142149,118752,87221,100442,87125,120191,116688,111398
" "," "," "," "," ","Median Price (Euro)",146000,140000,95000,45000,102960,91250,120000,120000,97000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",2,6,6,64,190,94,63,84,72
" "," "," "," "," ","Value of Sales (Euro Million)",0.4,1.5,0.6,1.7,7.5,7.3,6.1,6.4,8.9
" "," "," "," "," ","Mean Sale Price (Euro)",182500,257083,96417,26172,39461,77612,96142,76375,123593
" "," "," "," "," ","Median Price (Euro)",182500,273750,55000,22050,20507,45485,85000,69167,115000
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",8,19,19,20,122,232,269,99,83
" "," "," "," "," ","Value of Sales (Euro Million)",1.9,3.8,1.6,3.3,11.4,11.0,40.3,32.2,13.8
" "," "," "," "," ","Mean Sale Price (Euro)",236625,200662,83339,165775,93617,47264,149827,325096,166683
" "," "," "," "," ","Median Price (Euro)",210000,155000,65000,80500,60000,28750,174632,70000,110132
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",51,91,166,212,384,380,530,784,682
" "," "," "," "," ","Value of Sales (Euro Million)",8.9,16.3,25.3,38.2,59.5,53.3,94.5,150.2,173.8
" "," "," "," "," ","Mean Sale Price (Euro)",174575,178702,152159,180080,154993,140172,178240,191601,254823
" "," "," "," "," ","Median Price (Euro)",145000,175000,133775,219537,120652,110000,165000,190000,180500
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",15,23,27,27,104,124,175,176,185
" "," "," "," "," ","Value of Sales (Euro Million)",1.1,3.6,2.6,2.3,9.0,9.6,15.0,16.2,17.5
" "," "," "," "," ","Mean Sale Price (Euro)",74367,154393,96305,86467,87016,77676,85632,92286,94820
" "," "," "," "," ","Median Price (Euro)",2500,117000,60000,65000,64960,50000,65000,85000,82000
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",190,220,713,908,2918,2078,2090,2497,3195
" "," "," "," "," ","Value of Sales (Euro Million)",46.2,61.0,164.2,228.6,763.7,595.2,727.3,891.8,1142.7
" "," "," "," "," ","Mean Sale Price (Euro)",243184,277055,230271,251753,261711,286419,348014,357144,357661
" "," "," "," "," ","Median Price (Euro)",146250,190000,166624,120000,195000,230000,220000,235000,251000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",29,38,46,94,231,365,387,404,290
" "," "," "," "," ","Value of Sales (Euro Million)",7.1,8.5,6.5,13.4,28.6,37.9,49.0,69.9,66.5
" "," "," "," "," ","Mean Sale Price (Euro)",243695,224700,140852,142824,124022,103797,126705,173080,229305
" "," "," "," "," ","Median Price (Euro)",140800,250000,102500,104767,91600,70000,101667,140000,180000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",19,26,26,36,76,68,103,224,261
" "," "," "," "," ","Value of Sales (Euro Million)",3.7,5.8,3.2,6.5,8.4,10.8,18.0,28.0,31.7
" "," "," "," "," ","Mean Sale Price (Euro)",197337,223382,123186,179284,110875,158279,175137,124951,121413
" "," "," "," "," ","Median Price (Euro)",190000,182500,80000,46034,77640,117500,125000,100000,82500
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",14,9,30,41,104,200,271,360,333
" "," "," "," "," ","Value of Sales (Euro Million)",3.1,1.0,3.7,6.8,13.9,59.1,66.5,76.6,77.0
" "," "," "," "," ","Mean Sale Price (Euro)",221429,112444,123650,165416,133298,295648,245339,212750,231224
" "," "," "," "," ","Median Price (Euro)",186250,99000,51744,125000,100000,142500,192000,180000,196000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",5,22,14,30,42,87,88,88,125
" "," "," "," "," ","Value of Sales (Euro Million)",0.6,4.3,2.5,4.5,8.6,11.6,14.4,13.5,22.6
" "," "," "," "," ","Mean Sale Price (Euro)",113900,196818,175215,149878,204079,133876,163714,153373,180998
" "," "," "," "," ","Median Price (Euro)",100000,78750,48500,116000,100000,105000,140000,147500,172500
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",12,24,18,64,42,69,90,122,95
" "," "," "," "," ","Value of Sales (Euro Million)",1.7,2.5,0.6,3.6,4.1,6.8,8.7,12.4,10.7
" "," "," "," "," ","Mean Sale Price (Euro)",140500,103245,33667,56242,98731,98484,96957,101808,112257
" "," "," "," "," ","Median Price (Euro)",85000,132000,0,36667,72640,93000,91500,106500,120000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",0,1,4,1,25,10,44,33,36
" "," "," "," "," ","Value of Sales (Euro Million)",0.0,0.4,0.7,0.3,1.4,0.9,3.7,2.6,4.2
" "," "," "," "," ","Mean Sale Price (Euro)",..,400000,179924,250000,57758,94550,83830,80015,117919
" "," "," "," "," ","Median Price (Euro)",..,400000,87349,250000,37885,84000,65000,80000,112809
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",5,19,40,37,237,262,259,218,354
" "," "," "," "," ","Value of Sales (Euro Million)",1.3,3.0,5.5,6.4,18.2,34.6,21.6,29.2,55.0
" "," "," "," "," ","Mean Sale Price (Euro)",256281,155285,136543,172878,76991,132169,83548,134102,155422
" "," "," "," "," ","Median Price (Euro)",268000,140000,100000,120000,75000,82500,45000,97000,97500
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",2,8,6,6,44,18,35,37,56
" "," "," "," "," ","Value of Sales (Euro Million)",0.2,1.1,0.3,0.8,2.8,1.2,2.7,3.1,5.5
" "," "," "," "," ","Mean Sale Price (Euro)",103500,134750,57709,132917,62513,65580,76057,84986,98176
" "," "," "," "," ","Median Price (Euro)",103500,114167,65000,103750,52250,53250,75000,82500,87582
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",27,26,18,75,108,120,116,162,127
" "," "," "," "," ","Value of Sales (Euro Million)",2.9,5.1,3.3,11.6,9.2,10.5,17.0,25.0,19.3
" "," "," "," "," ","Mean Sale Price (Euro)",108013,195476,181944,154465,85411,87451,146490,154203,152017
" "," "," "," "," ","Median Price (Euro)",125000,155000,142500,193125,65000,68053,122222,147500,130000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",16,13,19,17,66,128,84,84,67
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,2.9,1.9,2.0,5.9,13.4,8.4,9.3,8.9
" "," "," "," "," ","Mean Sale Price (Euro)",114648,219231,99791,120177,89028,104627,100589,110908,133087
" "," "," "," "," ","Median Price (Euro)",115533,260000,90000,75000,74140,131815,44917,60000,114843
" "," "," "," ","Meath"
" "," "," "," "," ","Volume of Sales  (Number)",20,12,44,32,113,70,97,99,160
" "," "," "," "," ","Value of Sales (Euro Million)",6.7,2.0,4.4,4.0,15.5,11.6,20.5,23.0,33.2
" "," "," "," "," ","Mean Sale Price (Euro)",335250,163583,100107,123622,137374,165512,211831,231883,207798
" "," "," "," "," ","Median Price (Euro)",222500,180000,54400,98375,109920,129000,145000,190000,177000
" "," "," "," ","Monaghan"
" "," "," "," "," ","Volume of Sales  (Number)",13,11,15,12,28,21,46,38,71
" "," "," "," "," ","Value of Sales (Euro Million)",1.4,1.9,1.3,1.4,2.6,2.2,4.4,5.7,8.6
" "," "," "," "," ","Mean Sale Price (Euro)",109192,168636,87267,119958,93635,105357,95772,148855,121091
" "," "," "," "," ","Median Price (Euro)",120000,150000,88000,85000,71400,100000,90000,132500,79394
" "," "," "," ","Offaly"
" "," "," "," "," ","Volume of Sales  (Number)",9,3,19,7,17,43,71,82,111
" "," "," "," "," ","Value of Sales (Euro Million)",1.8,1.0,3.3,0.5,2.3,3.3,7.0,9.0,10.9
" "," "," "," "," ","Mean Sale Price (Euro)",195556,330000,173843,69500,133145,77012,98430,109606,98591
" "," "," "," "," ","Median Price (Euro)",155000,170000,116000,56500,100760,86000,85000,107500,95000
" "," "," "," ","Roscommon"
" "," "," "," "," ","Volume of Sales  (Number)",5,11,7,6,30,43,64,51,72
" "," "," "," "," ","Value of Sales (Euro Million)",1.3,1.9,0.6,0.9,1.5,2.4,4.4,5.7,9.1
" "," "," "," "," ","Mean Sale Price (Euro)",259070,174318,84643,149417,49517,55468,69346,111205,126620
" "," "," "," "," ","Median Price (Euro)",235000,160000,110000,107000,36640,23559,50000,90000,73500
" "," "," "," ","Sligo"
" "," "," "," "," ","Volume of Sales  (Number)",5,13,18,11,75,36,105,51,110
" "," "," "," "," ","Value of Sales (Euro Million)",0.9,2.1,1.9,2.0,5.3,5.3,7.3,7.6,9.9
" "," "," "," "," ","Mean Sale Price (Euro)",188900,159000,104111,184227,71331,148121,69410,148662,90100
" "," "," "," "," ","Median Price (Euro)",169500,128571,40000,125000,54960,103544,35242,120000,50855
" "," "," "," ","Tipperary"
" "," "," "," "," ","Volume of Sales  (Number)",12,13,16,37,81,114,154,171,194
" "," "," "," "," ","Value of Sales (Euro Million)",2.3,1.5,2.7,4.4,6.8,10.8,17.4,17.6,23.3
" "," "," "," "," ","Mean Sale Price (Euro)",194917,115885,169735,119605,83979,94741,113070,102919,120327
" "," "," "," "," ","Median Price (Euro)",140000,115000,154250,97500,64120,91250,112000,90000,112500
" "," "," "," ","Waterford"
" "," "," "," "," ","Volume of Sales  (Number)",8,22,20,30,83,90,199,150,144
" "," "," "," "," ","Value of Sales (Euro Million)",1.2,3.0,2.8,4.7,8.6,8.3,23.3,12.9,22.3
" "," "," "," "," ","Mean Sale Price (Euro)",153750,138605,140179,157748,103888,92530,117319,85894,154584
" "," "," "," "," ","Median Price (Euro)",152500,129750,100000,117250,83000,62750,110000,55625,120500
" "," "," "," ","Westmeath"
" "," "," "," "," ","Volume of Sales  (Number)",12,21,33,18,129,89,179,263,127
" "," "," "," "," ","Value of Sales (Euro Million)",1.9,4.1,3.0,2.2,10.4,5.5,15.7,20.7,17.0
" "," "," "," "," ","Mean Sale Price (Euro)",155000,192977,90718,124028,80847,62275,87645,78547,134250
" "," "," "," "," ","Median Price (Euro)",100000,150000,38000,60000,58000,50000,69900,37187,125000
" "," "," "," ","Wexford"
" "," "," "," "," ","Volume of Sales  (Number)",23,11,40,44,87,81,120,238,194
" "," "," "," "," ","Value of Sales (Euro Million)",6.2,1.9,4.3,5.9,8.6,9.2,13.0,33.0,27.3
" "," "," "," "," ","Mean Sale Price (Euro)",269196,168545,106975,134318,98281,113983,108035,138845,140538
" "," "," "," "," ","Median Price (Euro)",185000,140000,66000,90000,87000,77000,115000,140000,135000
" "," "," "," ","Wicklow"
" "," "," "," "," ","Volume of Sales  (Number)",9,47,21,24,46,96,69,65,95
" "," "," "," "," ","Value of Sales (Euro Million)",2.6,1.6,10.2,6.9,9.1,23.3,25.0,29.1,28.2
" "," "," "," "," ","Mean Sale Price (Euro)",286779,34766,483552,286988,198577,242643,362124,447037,297240
" "," "," "," "," ","Median Price (Euro)",250000,0,129000,162000,179900,144000,199500,260000,255000
"Market"
" ","All Buyer Types"
" "," ","Filings"
" "," "," ","All Dwelling Statuses"
" "," "," "," ","All Counties"
" "," "," "," "," ","Volume of Sales  (Number)",20076,17571,22101,26305,38955,47330,46416,52119,53644
" "," "," "," "," ","Value of Sales (Euro Million)",5187.5,4023.2,4546.2,5421.1,8370.4,10367.4,11294.2,13871.4,15342.7
" "," "," "," "," ","Mean Sale Price (Euro)",258393,228967,205703,206088,214875,219044,243325,266148,286010
" "," "," "," "," ","Median Price (Euro)",223548,187603,164999,150000,160000,166995,190000,216723,240000
" "," "," "," ","Carlow"
" "," "," "," "," ","Volume of Sales  (Number)",175,224,208,279,388,487,480,480,635
" "," "," "," "," ","Value of Sales (Euro Million)",34.2,36.0,23.9,34.6,43.6,63.3,68.9,73.0,102.6
" "," "," "," "," ","Mean Sale Price (Euro)",195501,160714,114798,123926,112282,129920,143632,152081,161497
" "," "," "," "," ","Median Price (Euro)",179000,149000,100000,105000,105750,122500,135000,140000,155000
" "," "," "," ","Cavan"
" "," "," "," "," ","Volume of Sales  (Number)",316,267,276,380,577,778,676,758,740
" "," "," "," "," ","Value of Sales (Euro Million)",56.6,39.0,33.5,38.6,53.4,75.8,76.1,94.7,102.8
" "," "," "," "," ","Mean Sale Price (Euro)",179215,146151,121478,101491,92545,97439,112585,124961,138871
" "," "," "," "," ","Median Price (Euro)",155000,130000,103750,88500,79000,79000,96238,110000,130500
" "," "," "," ","Clare"
" "," "," "," "," ","Volume of Sales  (Number)",503,409,529,557,917,1188,1261,1206,1065
" "," "," "," "," ","Value of Sales (Euro Million)",93.9,71.6,74.6,73.2,106.2,141.6,188.5,181.6,213.1
" "," "," "," "," ","Mean Sale Price (Euro)",186696,175010,141053,131374,115763,119166,149465,150581,200060
" "," "," "," "," ","Median Price (Euro)",175000,153000,125000,108000,94000,100000,145000,140000,170000
" "," "," "," ","Cork"
" "," "," "," "," ","Volume of Sales  (Number)",2102,2055,2420,2727,4200,5238,5189,5636,5577
" "," "," "," "," ","Value of Sales (Euro Million)",522.8,443.0,443.7,477.6,744.3,1000.8,1093.5,1266.0,1399.2
" "," "," "," "," ","Mean Sale Price (Euro)",248696,215571,183330,175150,177208,191060,210743,224635,250896
" "," "," "," "," ","Median Price (Euro)",227000,193000,162390,152500,152000,165000,187000,205000,225000
" "," "," "," ","Donegal"
" "," "," "," "," ","Volume of Sales  (Number)",574,516,578,637,982,1337,1315,1212,1310
" "," "," "," "," ","Value of Sales (Euro Million)",100.1,76.9,71.7,66.5,96.9,149.7,149.5,149.5,161.9
" "," "," "," "," ","Mean Sale Price (Euro)",174374,149070,124102,104422,98661,111962,113705,123381,123596
" "," "," "," "," ","Median Price (Euro)",160000,132750,110250,90800,85000,95000,98000,111000,115500
" "," "," "," ","Dublin"
" "," "," "," "," ","Volume of Sales  (Number)",6943,5584,8006,9654,13536,15519,15053,18244,18719
" "," "," "," "," ","Value of Sales (Euro Million)",2335.2,1801.4,2317.4,2956.9,4561.8,5329.4,5860.7,7397.5,8005.6
" "," "," "," "," ","Mean Sale Price (Euro)",336344,322594,289452,306289,337016,343414,389339,405474,427672
" "," "," "," "," ","Median Price (Euro)",280000,255000,220000,225000,265000,275000,303612,325000,350000
" "," "," "," ","Galway"
" "," "," "," "," ","Volume of Sales  (Number)",876,850,968,1318,2062,2701,2458,2433,2402
" "," "," "," "," ","Value of Sales (Euro Million)",212.0,171.4,175.2,221.5,335.5,439.3,440.3,503.0,554.8
" "," "," "," "," ","Mean Sale Price (Euro)",241996,201608,180952,168064,162696,162654,179112,206734,230967
" "," "," "," "," ","Median Price (Euro)",224615,175000,158000,142500,140000,140000,160000,188000,210000
" "," "," "," ","Kerry"
" "," "," "," "," ","Volume of Sales  (Number)",585,535,639,727,998,1347,1341,1475,1526
" "," "," "," "," ","Value of Sales (Euro Million)",122.8,97.1,105.7,94.7,137.5,188.6,202.8,235.0,255.5
" "," "," "," "," ","Mean Sale Price (Euro)",209892,181402,165445,130321,137737,139999,151252,159335,167411
" "," "," "," "," ","Median Price (Euro)",195607,170000,145000,120000,118000,114000,127500,140000,150000
" "," "," "," ","Kildare"
" "," "," "," "," ","Volume of Sales  (Number)",1027,775,977,1222,1750,2224,2208,2689,2846
" "," "," "," "," ","Value of Sales (Euro Million)",264.1,180.9,195.4,243.1,402.0,563.8,568.4,719.4,841.7
" "," "," "," "," ","Mean Sale Price (Euro)",257175,233475,200003,198906,229722,253507,257449,267527,295752
" "," "," "," "," ","Median Price (Euro)",240000,207500,179000,179750,210000,229000,245000,257500,280000
" "," "," "," ","Kilkenny"
" "," "," "," "," ","Volume of Sales  (Number)",330,342,397,399,623,780,664,716,788
" "," "," "," "," ","Value of Sales (Euro Million)",67.5,62.1,57.1,58.3,87.5,125.0,120.7,129.4,161.9
" "," "," "," "," ","Mean Sale Price (Euro)",204530,181659,143889,146148,140384,160277,181773,180750,205471
" "," "," "," "," ","Median Price (Euro)",181500,150000,120000,125000,118000,135000,160000,162250,185000
" "," "," "," ","Laois"
" "," "," "," "," ","Volume of Sales  (Number)",305,301,381,340,591,651,699,752,775
" "," "," "," "," ","Value of Sales (Euro Million)",55.7,43.2,42.0,36.4,62.4,81.5,95.5,116.5,129.5
" "," "," "," "," ","Mean Sale Price (Euro)",182738,143465,110151,106949,105597,125150,136583,154955,167108
" "," "," "," "," ","Median Price (Euro)",175000,130000,93638,87000,86531,110000,132000,145000,155000
" "," "," "," ","Leitrim"
" "," "," "," "," ","Volume of Sales  (Number)",146,170,178,260,321,429,449,423,431
" "," "," "," "," ","Value of Sales (Euro Million)",24.4,21.8,18.7,22.0,25.7,41.4,41.1,46.3,49.9
" "," "," "," "," ","Mean Sale Price (Euro)",166872,128329,105034,84502,80127,96591,91642,109382,115691
" "," "," "," "," ","Median Price (Euro)",159450,120000,90900,73317,60000,75000,76000,90000,100000
" "," "," "," ","Limerick"
" "," "," "," "," ","Volume of Sales  (Number)",748,717,658,818,1418,1825,1787,1919,2041
" "," "," "," "," ","Value of Sales (Euro Million)",154.8,129.2,107.5,120.0,178.3,247.9,278.8,321.5,391.9
" "," "," "," "," ","Mean Sale Price (Euro)",206953,180259,163401,146651,125707,135860,156010,167547,192015
" "," "," "," "," ","Median Price (Euro)",195000,167000,150000,126000,105000,117000,137000,150000,175000
" "," "," "," ","Longford"
" "," "," "," "," ","Volume of Sales  (Number)",133,125,148,190,351,434,417,380,425
" "," "," "," "," ","Value of Sales (Euro Million)",21.6,15.0,13.9,15.1,27.1,34.2,36.9,37.4,46.1
" "," "," "," "," ","Mean Sale Price (Euro)",162605,120111,93718,79223,77175,78747,88380,98400,108531
" "," "," "," "," ","Median Price (Euro)",150000,99999,77176,63000,60000,65000,75000,85000,95000
" "," "," "," ","Louth"
" "," "," "," "," ","Volume of Sales  (Number)",498,464,630,665,1008,1224,1188,1254,1447
" "," "," "," "," ","Value of Sales (Euro Million)",101.8,76.5,100.8,89.2,136.4,178.2,200.1,246.6,310.1
" "," "," "," "," ","Mean Sale Price (Euro)",204326,164879,159996,134110,135313,145590,168448,196684,214315
" "," "," "," "," ","Median Price (Euro)",192975,150000,142500,120440,120000,132250,150000,179000,215000
" "," "," "," ","Mayo"
" "," "," "," "," ","Volume of Sales  (Number)",420,369,445,477,859,1231,1090,1099,1100
" "," "," "," "," ","Value of Sales (Euro Million)",74.1,59.3,57.8,58.6,94.9,142.0,129.2,147.5,153.7
" "," "," "," "," ","Mean Sale Price (Euro)",176491,160647,129869,122778,110487,115314,118506,134223,139717
